metrics,Sample,Fold1,Fold2,Fold3,Fold4,Fold5
NRMSE,Untr,0.131353376198693,0.11459081166213,0.13682022178003,0.127079362629175,0.123779881979643
NRMSE,G418_500,0.102437124775918,0.104038441308863,0.103127591083519,0.0993287509724889,0.1001057318128
NRMSE,Genta,0.133292794161916,0.123583859305681,0.119122575303252,0.125235257829046,0.130245949417144
NRMSE,Parom,0.121975969383973,0.114587773539423,0.119886445611845,0.121873856858481,0.115467015847242
NRMSE,Neo,0.102228597131732,0.110984959824481,0.105986671092029,0.109268449361155,0.106187741063183
NRMSE,Tobra,0.151784348130241,0.154686409668699,0.140862718148406,0.145870258107426,0.1374541122415
NRMSE,Amik,0.144038603551773,0.12736730135502,0.143835037791551,0.138855404099005,0.137524293026887
NRMSE,G418_2000,0.110694743680163,0.104585581647733,0.107952263952661,0.101557060754625,0.108129944230669
NRMSE,G418_500_10min,0.103741500474337,0.103022899564463,0.0978825939375105,0.104961140954704,0.103595529061809
AUROC,Untr,0.708616780045351,0.6,0.625850340136054,0.769047619047619,0.71
AUROC,G418_500,0.788530734632684,0.786056971514243,0.760367122473246,0.824475262368816,0.698052913198573
AUROC,Genta,0.743169398907104,0.859446385380274,0.734748723461435,0.767401236226821,0.773985487772104
AUROC,Parom,0.738321799307958,0.780264279624893,0.759271099744246,0.793158567774936,0.762041773231032
AUROC,Neo,0.838709677419355,0.697250132205182,0.76008064516129,0.778424114225278,0.78397673188789
AUROC,Tobra,0.76539039039039,0.649420849420849,0.557142857142857,0.673015873015873,0.774305555555556
AUROC,Amik,0.687766714082504,0.711711711711712,0.715504978662873,0.787396121883656,0.721413721413721
AUROC,G418_2000,0.726806304876759,0.704167988998202,0.740769353721562,0.734121909633419,0.735281581330918
AUROC,G418_500_10min,0.817757009345794,0.808843890619592,0.813040844582901,0.793743509865005,0.827976242466591
